team,teamwins,city,fullname,nickname,rgb
atl,25.519299,Atlanta,Atlanta Hawks,Hawks,225 68 52
bos,43.22464,Boston,Boston Celtics,Celtics,0 122 51
brk,29.667637,Brooklyn,Brooklyn Nets,Nets,0 0 0
cha,53.450035,Charlotte,Charlotte Hornets,Hornets,29 17 96
chi,29.928234,Chicago,Chicago Bulls,Bulls,206 17 65
cle,44.537613,Cleveland,Cleveland Cavaliers,Cavaliers,111 38 61
dal,32.224064,Dallas,Dallas Mavericks,Mavericks,0 83 188
den,43.238674,Denver,Denver Nuggets,Nuggets,81 145 205
det,42.285362,Detroit,Detroit Pistons,Pistons,0 107 182
gsw,64.573692,Golden State,Golden State Warriors,Warriors,253 185 39
hou,54.433685,Houston,Houston Rockets,Rockets,206 17 65
ind,27.69058,Indiana,Indiana Pacers,Pacers,0 45 98
lac,56.673649,L.A. Clippers,Los Angeles Clippers,Clippers,200 16 46
lal,29.055601,L.A. Lakers,Los Angeles Lakers,Lakers,85 37 130
mem,36.868019,Memphis,Memphis Grizzlies,Grizzlies,97 137 185
mia,43.871887,Miami,Miami Heat,Heat,152 0 46
mil,38.840805,Milwaukee,Milwaukee Bucks,Bucks,0 71 27
min,43.989418,Minnesota,Minnesota Timberwolves,Timberwolves,12 35 64
nor,42.172886,New Orleans,New Orleans Pelicans,Pelicans,0 22 65
nyk,31.717175,New York,New York Knicks,Knicks,0 107 182
okc,46.054188,Oklahoma City,Oklahoma City Thunder,Thunder,0 125 195
orl,32.465656,Orlando,Orlando Magic,Magic,0 125 197
phi,35.065735,Philadelphia,Philadelphia 76ers,76ers,0 107 182
pho,29.475567,Phoenix,Phoenix Suns,Suns,229 95 32
por,45.975121,Portland,Portland Trail Blazers,Trail Blazers,224 58 62
sac,34.594105,Sacramento,Sacramento Kings,Kings,91 43 130
sas,49.440403,San Antonio,San Antonio Spurs,Spurs,196 206 211
tor,51.552402,Toronto,Toronto Raptors,Raptors,206 17 65
uth,55.895863,Utah,Utah Jazz,Jazz,0 43 92
was,35.517982,Washington,Washington Wizards,Wizards,0 43 92
