team,teamwins,city,fullname,nickname,rgb
atl,49.198986,Atlanta,Atlanta Hawks,Hawks,225 68 52
bos,38.911648,Boston,Boston Celtics,Celtics,0 122 51
brk,40.03764,Brooklyn,Brooklyn Nets,Nets,0 0 0
cha,29.092745,Charlotte,Charlotte Hornets,Hornets,29 17 96
chi,50.183064,Chicago,Chicago Bulls,Bulls,206 17 65
cle,38.964306,Cleveland,Cleveland Cavaliers,Cavaliers,111 38 61
dal,43.296379,Dallas,Dallas Mavericks,Mavericks,0 83 188
den,43.250305,Denver,Denver Nuggets,Nuggets,81 145 205
det,41.957573,Detroit,Detroit Pistons,Pistons,0 107 182
gsw,42.070999,Golden State,Golden State Warriors,Warriors,253 185 39
hou,63.094707,Houston,Houston Rockets,Rockets,206 17 65
ind,39.315075,Indiana,Indiana Pacers,Pacers,0 45 98
lac,45.891159,L.A. Clippers,Los Angeles Clippers,Clippers,200 16 46
lal,29.26749,L.A. Lakers,Los Angeles Lakers,Lakers,85 37 130
mem,54.642406,Memphis,Memphis Grizzlies,Grizzlies,97 137 185
mia,47.808319,Miami,Miami Heat,Heat,152 0 46
mil,34.871284,Milwaukee,Milwaukee Bucks,Bucks,0 71 27
min,39.573662,Minnesota,Minnesota Timberwolves,Timberwolves,12 35 64
nor,36.414108,New Orleans,New Orleans Pelicans,Pelicans,0 22 65
nyk,35.617645,New York,New York Knicks,Knicks,0 107 182
okc,53.669582,Oklahoma City,Oklahoma City Thunder,Thunder,0 125 195
orl,27.242685,Orlando,Orlando Magic,Magic,0 125 197
phi,30.954041,Philadelphia,Philadelphia 76ers,76ers,0 107 182
pho,28.734423,Phoenix,Phoenix Suns,Suns,229 95 32
por,36.795887,Portland,Portland Trail Blazers,Trail Blazers,224 58 62
sac,30.327316,Sacramento,Sacramento Kings,Kings,91 43 130
sas,53.036568,San Antonio,San Antonio Spurs,Spurs,196 206 211
tor,43.367046,Toronto,Toronto Raptors,Raptors,206 17 65
uth,44.471588,Utah,Utah Jazz,Jazz,0 43 92
was,37.941364,Washington,Washington Wizards,Wizards,0 43 92
