team,teamwins,city,fullname,nickname,rgb
atl,40.905338,Atlanta,Atlanta Hawks,Hawks,225 68 52
bos,48.414856,Boston,Boston Celtics,Celtics,0 122 51
brk,45.000431,Brooklyn,Brooklyn Nets,Nets,0 0 0
cha,41.566574,Charlotte,Charlotte Hornets,Hornets,29 17 96
chi,23.779949,Chicago,Chicago Bulls,Bulls,206 17 65
cle,38.368507,Cleveland,Cleveland Cavaliers,Cavaliers,111 38 61
dal,46.810654,Dallas,Dallas Mavericks,Mavericks,0 83 188
den,49.778324,Denver,Denver Nuggets,Nuggets,81 145 205
det,46.203209,Detroit,Detroit Pistons,Pistons,0 107 182
gsw,62.172077,Golden State,Golden State Warriors,Warriors,253 185 39
hou,48.7761,Houston,Houston Rockets,Rockets,206 17 65
ind,38.526176,Indiana,Indiana Pacers,Pacers,0 45 98
lac,30.741465,L.A. Clippers,Los Angeles Clippers,Clippers,200 16 46
lal,50.110512,L.A. Lakers,Los Angeles Lakers,Lakers,85 37 130
mem,31.961134,Memphis,Memphis Grizzlies,Grizzlies,97 137 185
mia,41.269764,Miami,Miami Heat,Heat,152 0 46
mil,39.285656,Milwaukee,Milwaukee Bucks,Bucks,0 71 27
min,47.840599,Minnesota,Minnesota Timberwolves,Timberwolves,12 35 64
nor,40.820816,New Orleans,New Orleans Pelicans,Pelicans,0 22 65
nyk,25.247843,New York,New York Knicks,Knicks,0 107 182
okc,46.574497,Oklahoma City,Oklahoma City Thunder,Thunder,0 125 195
orl,29.518869,Orlando,Orlando Magic,Magic,0 125 197
phi,51.18961,Philadelphia,Philadelphia 76ers,76ers,0 107 182
pho,22.520662,Phoenix,Phoenix Suns,Suns,229 95 32
por,39.031723,Portland,Portland Trail Blazers,Trail Blazers,224 58 62
sac,21.108845,Sacramento,Sacramento Kings,Kings,91 43 130
sas,36.757843,San Antonio,San Antonio Spurs,Spurs,196 206 211
tor,58.783821,Toronto,Toronto Raptors,Raptors,206 17 65
uth,54.734833,Utah,Utah Jazz,Jazz,0 43 92
was,32.199345,Washington,Washington Wizards,Wizards,0 43 92
