"name","team","position","rotation"
"Drew Eubanks","sas",5,2
"Facundo Campazzo","den",1,2
"Austin Rivers","den",2,2
"P.J. Dozier","den",3,2
"Jeff Green","den",4,2
"JaMychal Green","den",5,2
"Patrick Beverley","min",1,2
"Malik Beasley","min",2,2
"Jarred Vanderbilt","min",4,2
"Naz Reid","min",5,2
"Tre Mann","okc",1,2
"Kenrich Williams","okc",3,2
"Aleksej Pokusevski","okc",4,2
"Derrick Favors","okc",5,2
"Anfernee Simons","por",1,2
"Ben McLemore","por",2,2
"Tony Snell","por",3,2
"Larry Nance Jr.","por",4,2
"Cody Zeller","por",5,2
"Jordan Clarkson","uth",1,2
"Joe Ingles","uth",3,2
"Rudy Gay","uth",4,2
"Hassan Whiteside","uth",5,2
"Dennis Schroder","bos",1,2
"Josh Richardson","bos",2,2
"Grant Williams","bos",4,2
"Joe Harris","brk",1,2
"Patty Mills","brk",2,2
"Bruce Brown Jr.","brk",3,2
"Kessler Edwards","brk",4,2
"Kyrie Irving","brk",5,2
"Derrick Rose","nyk",1,2
"Alec Burks","nyk",2,2
"Obi Toppin","nyk",4,2
"Nerlens Noel","nyk",5,2
"Shake Milton","phi",1,2
"Furkan Korkmaz","phi",2,2
"Matisse Thybulle","phi",3,2
"Georges Niang","phi",4,2
"Andre Drummond","phi",5,2
"Malachi Flynn","tor",1,2
"Gary Trent Jr.","tor",2,2
"Scottie Barnes","tor",3,2
"Chris Boucher","tor",4,2
"Coby White","chi",1,2
"Alex Caruso","chi",2,2
"Troy Brown Jr.","chi",3,2
"Derrick Jones Jr.","chi",4,2
"Tony Bradley","chi",5,2
"Ricky Rubio","cle",1,2
"Cedi Osman","cle",2,2
"Isaac Okoro","cle",3,2
"Kevin Love","cle",4,2
"Cory Joseph","det",1,2
"Frank Jackson","det",2,2
"Josh Jackson","det",3,2
"Kelly Olynyk","det",4,2
"T.J. McConnell","ind",1,2
"Chris Duarte","ind",2,2
"Justin Holiday","ind",3,2
"George Hill","mil",1,2
"Grayson Allen","mil",2,2
"Pat Connaughton","mil",3,2
"Bobby Portis","mil",4,2
"Delon Wright","atl",1,2
"Lou Williams","atl",2,2
"Kevin Huerter","atl",3,2
"Danilo Gallinari","atl",4,2
"Gorgui Dieng","atl",5,2
"Ish Smith","cha",1,2
"Kelly Oubre Jr.","cha",2,2
"P.J. Washington","cha",4,2
"Tyler Herro","mia",1,2
"KZ Okpala","mia",3,2
"Markieff Morris","mia",4,2
"Dewayne Dedmon","mia",5,2
"Jalen Suggs","orl",1,2
"R.J. Hampton","orl",2,2
"Terrence Ross","orl",3,2
"Mo Bamba","orl",5,2
"Aaron Holiday","was",1,2
"Raul Neto","was",2,2
"Deni Avdija","was",3,2
"Kyle Kuzma","was",4,2
"Montrezl Harrell","was",5,2
"Damion Lee","gsw",1,3
"Moses Moody","gsw",2,3
"Jonathan Kuminga","gsw",3,3
"Justise Winslow","lac",1,3
"Luke Kennard","lac",2,3
"Isaiah Hartenstein","lac",5,3
"Rajon Rondo","lal",1,3
"DeAndre Jordan","lal",5,3
"Elfrid Payton","pho",1,3
"Abdel Nader","pho",3,3
"Jalen Smith","pho",5,3
"Chimezie Metu","sac",4,3
"Alex Len","sac",5,3
"Trey Burke","dal",1,3
"Josh Green","dal",3,3
"Willie Cauley-Stein","dal",5,3
"David Nwaba","hou",3,3
"Jarrett Culver","mem",2,3
"Ziaire Williams","mem",3,3
"Kira Lewis Jr.","nor",1,3
"Willy Hernangomez","nor",5,3
"Tre Jones","sas",1,3
"Bryn Forbes","sas",2,3
"Bones Hyland","den",1,3
"Jordan McLaughlin","min",1,3
"Jaylen Nowell","min",2,3
"Taurean Prince","min",3,3
"Theo Maledon","okc",1,3
"Gabriel Deck","okc",3,3
"Jeremiah Robinson-Earl","okc",4,3
"Mike Muscala","okc",5,3
"Dennis Smith Jr.","por",1,3
"Nassir Little","por",4,3
"Eric Paschall","uth",4,3
"Udoka Azubuike","uth",5,3
"Payton Pritchard","bos",1,3
"Enes Kanter","bos",5,3
"Kevin Durant","brk",1,3
"DeAndre Bembry","brk",2,3
"James Johnson","brk",3,3
"Immanuel Quickley","nyk",1,3
"Kevin Knox II","nyk",4,3
"Taj Gibson","nyk",5,3
"Grant Riller","phi",1,3
"Isaiah Joe","phi",2,3
"Paul Reed","phi",4,3
"Charles Bassey","phi",5,3
"Svi Mykhailiuk","tor",2,3
"Khem Birch","tor",5,3
"Javonte Green","chi",4,3
"Marko Simonovic","chi",5,3
"Kevin Pangos","cle",1,3
"Dylan Windler","cle",2,3
"Hamidou Diallo","det",3,3
"Trey Lyles","det",4,3
"Brad Wanamaker","ind",1,3
"Jeremy Lamb","ind",2,3
"Torrey Craig","ind",4,3
"Goga Bitadze","ind",5,3
"Jordan Nwora","mil",3,3
"Semi Ojeleye","mil",4,3
"Cam Reddish","atl",3,3
"Solomon Hill","atl",4,3
"James Bouknight","cha",2,3
"Jalen McDaniels","cha",4,3
"Kai Jones","cha",5,3
"Gabe Vincent","mia",1,3
"Michael Carter-Williams","orl",1,3
"Moritz Wagner","orl",4,3
"Robin Lopez","orl",5,3
"Corey Kispert","was",2,3
"Davis Bertans","was",4,3
"Gary Payton II","gsw",1,4
"Juan Toscano-Anderson","gsw",4,4
"Nemanja Bjelica","gsw",5,4
"Keon Johnson","lac",2,4
"Sekou Doumbouya","lal",4,4
"Jay Huff","lal",5,4
"Frank Kaminsky","pho",4,4
"Robert Woodard II","sac",2,4
"Damian Jones","sac",5,4
"Frank Ntilikina","dal",1,4
"Sterling Brown","dal",2,4
"Boban Marjanovic","dal",5,4
"Armoni Brooks","hou",1,4
"Usman Garuba","hou",4,4
"John Konchar","mem",1,4
"Garrett Temple","nor",2,4
"Keita Bates-Diop","sas",4,4
"Jock Landale","sas",5,4
"Zeke Nnaji","den",4,4
"Leandro Bolmaro","min",2,4
"Nathan Knight","min",5,4
"Ty Jerome","okc",1,4
"Jared Butler","uth",1,4
"Brodric Thomas","bos",1,4
"Aaron Nesmith","bos",3,4
"Juancho Hernangomez","bos",4,4
"Blake Griffin","brk",1,4
"Paul Millsap","brk",3,4
"Bruce Brown","brk",5,4
"Quentin Grimes","nyk",2,4
"Ben Simmons","phi",1,4
"Jaden Springer","phi",2,4
"Dalano Banton","tor",1,4
"Ayo Dosunmu","chi",1,4
"Alize Johnson","chi",4,4
"Tyler Cook","chi",5,4
"Denzel Valentine","cle",2,4
"Saben Lee","det",1,4
"Luka Garza","det",5,4
"Isaiah Jackson","ind",4,4
"Sandro Mamukelashvili","mil",5,4
"Jalen Johnson","atl",4,4
"Onyeka Okongwu","atl",5,4
"Cody Martin","cha",1,4
"Vernon Carey Jr.","cha",5,4
"Victor Oladipo","mia",1,4
"Max Strus","mia",2,4
"E'Twaun Moore","orl",2,4
"Cassius Winston","was",1,4
"Isaiah Todd","was",5,4
"Chris Chiozza","gsw",1,5
"Amir Coffey","lac",1,5
"Brandon Boston Jr.","lac",2,5
"Kawhi Leonard","lac",3,5
"Avery Bradley","lal",3,5
"Trevor Ariza","lal",4,5
"Dario Saric","pho",5,5
"Jahmi'us Ramsey","sac",1,5
"Marvin Bagley III","sac",4,5
"JaQuori McLaughlin","dal",1,5
"Eugene Omoruyi","dal",4,5
"Moses Brown","dal",5,5
"Josh Christopher","hou",2,5
"Killian Tillie","mem",4,5
"Joshua Primo","sas",2,5
"Joe Wieskamp","sas",3,5
"Devontae Cacok","sas",5,5
"Markus Howard","den",1,5
"Bol Bol","den",4,5
"Jake Layman","min",4,5
"Vit Krejci","okc",2,5
"CJ Elleby","por",2,5
"Greg Brown III","por",4,5
"Trendon Watford","por",5,5
"Miye Oni","uth",2,5
"Romeo Langford","bos",2,5
"Jabari Parker","bos",4,5
"Bruno Fernando","bos",5,5
"Nic Claxton","brk",1,5
"LaMarcus Aldridge","brk",2,5
"Day'Ron Sharpe","brk",5,5
"Luka Samanic","nyk",4,5
"Jericho Sims","nyk",5,5
"Yuta Watanabe","tor",2,5
"Isaac Bonga","tor",3,5
"RJ Nembhard Jr.","cle",1,5
"Lamar Stevens","cle",3,5
"Dean Wade","cle",4,5
"Ed Davis","cle",5,5
"Rodney McGruder","det",3,5
"Oshae Brissett","ind",4,5
"Justin Robinson","mil",1,5
"Rodney Hood","mil",2,5
"Thanasis Antetokounmpo","mil",4,5
"Timothe Luwawu-Cabarrot","atl",3,5
"JT Thor","cha",4,5
"Nick Richards","cha",5,5
"Omer Yurtseven","mia",5,5
"Markelle Fultz","orl",1,5
"Ignas Brazdeikis","orl",4,5
"Joel Ayayi","was",2,5
"Anthony Gill","was",3,5
"Thomas Bryant","was",5,5
