"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Josh Childress","SF (4.0)","14","100","-.014","-3.5","-0.03","6.7","7.2","2.4","0.0","1.0","1.0","1.4",2012,"brk"
"Keith Bogans","SG (2.0)","74","1406",".054","-1.4","1.59","10.6","4.1","2.6","1.7","0.1","1.0","3.7",2012,"brk"
"Kris Humphries","PF (4.0)","65","1192",".117","0.6","2.91","15.1","14.7","1.3","2.3","1.3","0.6","5.1",2012,"brk"
"Kris Joseph","F (4.0)","4","31","-.059","-4.9","-0.04","3.1","3.1","0.0","0.0","0.0","4.6","1.5",2012,"brk"
"MarShon Brooks","SG (2.0)","73","915",".043","-1.7","0.82","20.7","5.5","4.0","3.6","0.8","1.8","4.9",2012,"brk"
"Mirza Teletovic","C (4.3)","53","504","-.010","-3.4","-0.10","17.9","9.0","2.2","1.9","0.8","1.2","5.0",2012,"brk"
"Reggie Evans","PF (4.0)","80","1972",".263","5.1","10.81","8.8","21.6","1.0","2.7","0.3","1.8","4.8",2012,"brk"
"Tornike Shengelia","SF (4.0)","19","94","-.049","-4.6","-0.10","15.3","11.7","1.5","5.6","0.5","1.5","5.6",2012,"brk"
"Tyshawn Taylor","PG (1.0)","38","219","-.192","-9.0","-0.87","18.6","3.9","4.6","5.5","0.0","2.8","5.5",2012,"brk"
"Alan Anderson","SF (2.0)","78","1773",".044","-1.7","1.64","15.3","4.7","2.2","1.7","0.3","1.3","4.0",2013,"brk"
"Andray Blatche","FC (4.0)","73","1618",".070","-0.9","2.35","24.4","11.6","3.3","3.3","1.1","2.2","4.9",2013,"brk"
"Andrei Kirilenko","PF (4.0)","45","857",".081","-0.6","1.44","12.7","8.2","4.0","3.0","1.1","2.2","3.6",2013,"brk"
"Brook Lopez","C (5.0)","17","533",".175","2.4","1.95","31.7","9.2","1.4","2.5","2.7","0.8","4.7",2013,"brk"
"Deron Williams","PG (1.0)","64","2059",".154","1.7","6.60","21.3","3.9","9.1","3.3","0.3","2.2","3.5",2013,"brk"
"Jason Collins","FC (4.0)","22","172","-.097","-6.1","-0.35","7.0","5.3","1.1","2.0","0.3","2.2","8.4",2013,"brk"
"Jason Terry","SG (1.0)","35","570","-.009","-3.3","-0.10","13.4","3.1","4.7","2.3","0.0","1.1","4.0",2013,"brk"
"Joe Johnson","SF (2.6)","79","2575",".097","-0.1","5.20","23.2","5.0","4.0","2.2","0.2","0.9","2.4",2013,"brk"
"Jorge Gutierrez","PG (1.0)","15","244",".027","-2.2","0.14","12.2","4.3","5.9","2.8","0.2","2.0","7.3",2013,"brk"
"Kevin Garnett","C (5.0)","54","1109",".066","-1.0","1.52","15.2","15.5","3.5","3.0","1.7","1.9","5.3",2013,"brk"
"Marcus Thornton","SG (1.0)","26","620",".098","-0.0","1.27","24.8","5.7","2.3","2.2","0.2","2.1","2.8",2013,"brk"
"Marquis Teague","PG (1.0)","21","201","-.028","-4.0","-0.12","14.8","5.0","7.2","5.3","0.2","1.9","5.0",2013,"brk"
"Mason Plumlee","C (4.7)","70","1275",".211","3.5","5.59","19.6","11.6","2.3","2.9","2.1","1.8","6.4",2013,"brk"
"Mirza Teletovic","F (3.0)","72","1396",".129","0.9","3.76","21.4","9.1","2.0","1.9","0.8","1.0","4.9",2013,"brk"
"Paul Pierce","PF (3.4)","75","2098",".115","0.5","5.01","23.1","8.0","4.1","3.5","0.7","2.0","4.3",2013,"brk"
"Reggie Evans","FC (4.0)","30","399",".107","0.3","0.89","9.7","17.9","0.6","3.4","0.2","1.6","6.5",2013,"brk"
"Shaun Livingston","SG (1.4)","76","1974",".172","2.3","7.06","15.3","6.0","6.0","2.6","0.8","2.3","4.2",2013,"brk"
"Tornike Shengelia","F (3.0)","17","137","-.063","-5.0","-0.18","8.8","4.9","4.2","3.9","0.4","0.7","5.6",2013,"brk"
"Tyshawn Taylor","PG (1.0)","23","270","-.184","-8.8","-1.04","15.8","2.7","6.4","5.5","0.2","2.1","5.2",2013,"brk"
"Alan Anderson","SG (2.0)","74","1744",".102","0.1","3.71","15.0","5.6","2.3","1.7","0.1","1.5","4.1",2014,"brk"
"Andrei Kirilenko","F (4.0)","7","36","-.077","-5.5","-0.06","4.0","10.7","1.3","1.3","0.0","1.3","1.3",2014,"brk"
"Bojan Bogdanovic","SF (2.9)","78","1854",".083","-0.5","3.21","18.1","5.5","1.8","2.0","0.2","0.9","2.7",2014,"brk"
"Brandon Davies","PF (4.0)","7","44","-.186","-8.9","-0.17","17.5","10.9","2.2","4.4","3.3","1.1","5.5",2014,"brk"
"Brook Lopez","C (5.0)","72","2100",".116","0.5","5.07","28.3","12.2","1.1","2.4","2.9","1.0","4.7",2014,"brk"
"Cory Jefferson","PF (4.0)","50","531",".038","-1.9","0.42","16.5","13.1","1.4","1.8","1.9","0.9","5.5",2014,"brk"
"Darius Morris","G (2.0)","38","299","-.097","-6.1","-0.61","13.3","4.3","7.7","3.4","0.0","1.4","3.2",2014,"brk"
"Deron Williams","PG (1.0)","68","2114",".086","-0.4","3.80","20.1","5.4","10.2","3.5","0.4","1.5","3.6",2014,"brk"
"Earl Clark","F (4.0)","10","93","-.128","-7.1","-0.25","13.9","11.9","1.5","3.1","2.1","1.5","6.2",2014,"brk"
"Jarrett Jack","PG (1.2)","80","2241",".058","-1.3","2.70","20.5","5.2","8.0","4.1","0.3","1.6","3.1",2014,"brk"
"Jerome Jordan","C (5.0)","44","383",".168","2.1","1.34","17.3","13.2","1.6","2.8","1.9","1.0","7.3",2014,"brk"
"Joe Johnson","SF (3.2)","80","2791",".082","-0.5","4.74","19.8","6.6","5.0","2.4","0.2","1.0","2.1",2014,"brk"
"Jorge Gutierrez","PG (1.0)","10","44","-.011","-3.4","-0.01","17.5","7.6","7.6","3.3","0.0","1.1","9.8",2014,"brk"
"Kevin Garnett","PF (4.0)","42","854",".102","0.1","1.81","16.0","16.0","3.9","2.5","0.7","2.3","5.4",2014,"brk"
"Markel Brown","SG (2.0)","47","781",".056","-1.3","0.91","13.3","6.6","2.4","1.7","0.7","1.9","3.5",2014,"brk"
"Mason Plumlee","C (4.9)","82","1743",".162","2.0","5.87","19.7","14.1","2.0","2.9","1.7","1.8","5.7",2014,"brk"
"Mirza Teletovic","F (4.0)","40","892","-.064","-5.1","-1.19","18.2","10.4","2.5","2.9","0.9","0.8","4.0",2014,"brk"
"Sergey Karasev","GF (2.0)","33","555",".106","0.2","1.22","13.2","5.7","4.0","2.1","0.1","2.0","3.9",2014,"brk"
"Thaddeus Young","PF (4.0)","28","829",".053","-1.4","0.92","22.3","9.6","2.2","2.4","0.5","2.2","3.2",2014,"brk"
"Andrea Bargnani","C (5.0)","46","634","-.175","-8.5","-2.32","23.0","7.3","1.4","2.0","0.7","0.3","4.6",2015,"brk"
"Bojan Bogdanovic","SF (3.0)","79","2115",".008","-2.8","0.37","20.1","5.8","2.2","2.6","0.1","0.7","2.7",2015,"brk"
"Brook Lopez","C (5.0)","73","2457",".055","-1.4","2.82","29.3","11.2","2.9","3.4","2.4","1.1","4.2",2015,"brk"
"Chris McCullough","PF (4.0)","24","362","0","-3.1","0.00","14.9","9.0","1.2","2.0","1.6","3.7","5.2",2015,"brk"
"Donald Sloan","PG (1.0)","61","1318",".124","0.8","3.41","15.4","6.3","9.8","2.9","0.1","1.2","2.7",2015,"brk"
"Henry Sims","C (5.0)","14","263",".041","-1.8","0.22","16.6","13.1","1.6","2.2","2.6","1.6","6.8",2015,"brk"
