"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Vonteego Cummings","PG (1.0)","66","1495","-.045","-4.5","-1.41","15.5","4.4","7.3","2.9","0.4","2.2","5.1",2000,"gsw"
"Adonal Foyle","C (5.0)","79","1485",".110","0.4","3.42","12.3","12.4","1.3","2.5","5.4","1.2","5.8",2001,"gsw"
"Antawn Jamison","F (3.3)","82","3033",".069","-0.9","4.36","25.6","8.8","2.5","2.5","0.7","1.1","3.0",2001,"gsw"
"Bob Sura","G (1.0)","78","1779",".147","1.5","5.45","21.0","6.9","7.4","3.6","0.5","2.4","4.3",2001,"gsw"
"Cedric Henderson","SF (3.0)","12","70","-.020","-3.7","-0.03","24.7","2.1","2.7","5.5","1.4","4.1","2.7",2001,"gsw"
"Chris Mills","SF (3.0)","66","1237",".058","-1.3","1.50","19.0","7.4","2.8","2.2","0.5","1.2","4.7",2001,"gsw"
"Danny Fortson","FC (4.0)","77","2216",".159","1.9","7.36","18.7","19.5","2.8","3.5","0.4","1.0","5.5",2001,"gsw"
"Dean Garrett","C (5.0)","5","31","-.328","-13.3","-0.21","12.4","15.5","1.5","4.6","1.5","3.1","9.3",2001,"gsw"
"Dean Oliver","PG (1.0)","20","139","-.174","-8.5","-0.50","14.5","2.8","7.3","3.8","0.0","1.0","5.5",2001,"gsw"
"Erick Dampier","C (5.0)","73","1740",".012","-2.7","0.45","15.3","10.7","2.4","4.3","4.6","0.5","6.5",2001,"gsw"
"Gilbert Arenas","G (1.0)","47","1155",".141","1.3","3.39","21.2","5.5","7.2","4.0","0.5","2.9","4.8",2001,"gsw"
"Jason Richardson","GF (2.2)","80","2629",".039","-1.9","2.12","21.0","6.2","4.3","2.9","0.6","1.9","3.6",2001,"gsw"
"Larry Hughes","GF (1.9)","73","2050",".068","-1.0","2.92","21.0","5.7","7.4","4.0","0.5","2.6","3.5",2001,"gsw"
"Marc Jackson","FC (4.5)","17","169","-.022","-3.8","-0.08","23.9","12.2","2.0","3.4","0.9","1.4","7.1",2001,"gsw"
"Mookie Blaylock","PG (1.0)","35","599",".050","-1.5","0.62","9.5","4.2","9.1","3.0","0.3","1.9","1.6",2001,"gsw"
"Troy Murphy","FC (4.4)","82","1448","-.026","-3.9","-0.78","15.9","10.7","2.3","2.8","0.7","1.2","7.2",2001,"gsw"
"Adonal Foyle","C (5.0)","82","1787",".206","3.3","7.65","11.8","13.2","1.0","2.0","5.5","1.1","5.7",2002,"gsw"
"A.J. Guyton","SG (2.0)","2","9","-.612","-22.1","-0.11","0.0","0.0","10.7","5.3","0.0","5.3","0.0",2002,"gsw"
"Antawn Jamison","F (3.6)","82","3226",".044","-1.7","2.97","27.1","8.6","2.3","2.6","0.7","1.1","2.9",2002,"gsw"
"Bob Sura","G (1.5)","55","1130",".103","0.1","2.43","17.0","7.1","7.5","3.5","0.1","1.9","4.6",2002,"gsw"
"Chris Mills","SF (3.0)","21","262",".014","-2.7","0.07","18.5","9.2","4.0","1.8","0.5","1.3","5.3",2002,"gsw"
"Danny Fortson","FC (4.0)","17","223",".012","-2.7","0.06","12.7","15.7","2.6","3.2","0.0","1.9","9.3",2002,"gsw"
"Dean Oliver","PG (1.0)","15","93",".024","-2.3","0.05","11.4","8.3","11.9","5.2","0.0","3.6","4.6",2002,"gsw"
"Earl Boykins","PG (1.0)","68","1321",".099","0.0","2.73","21.8","3.2","8.0","2.7","0.1","1.4","2.7",2002,"gsw"
"Erick Dampier","C (5.0)","82","1979",".140","1.3","5.78","16.3","13.2","1.4","2.7","3.7","0.7","5.9",2002,"gsw"
"Gilbert Arenas","G (1.2)","82","2868",".094","-0.2","5.59","25.1","6.5","8.6","4.9","0.3","2.1","4.4",2002,"gsw"
"Guy Rucker","FC (4.5)","3","4",".132","1.0","0.01","0.0","12.0","12.0","0.0","0.0","0.0","12.0",2002,"gsw"
"Jason Richardson","GF (2.5)","82","2696",".019","-2.5","1.07","22.8","6.7","4.4","3.2","0.4","1.6","3.6",2002,"gsw"
