name,pos,gp,min,wp48,pop48,wins,pts,reb,ast,to,blk,stl,pf,year,team,draft_rtg,draftyear,_merge
Moritz Wagner,PF (5.0),43,446,-.122,-6.9000001,-1.14,22.299999,9.1000004,2.5999999,4.1999998,1.4,1.2,6.0999999,2018,lal,72,2018,matched (3)
Nick Johnson,SG (2.0),28,262,-.071000002,-5.3000002,-.38999999,13.6,7.0999999,2,3.5,.5,1.3,6.1999998,2014,hou,65.400002,2014,matched (3)
Nigel Hayes,PF (4.0),5,105,-.121,-6.8000002,-.27000001,8.1999998,10.1,1.8,.5,1.4,.89999998,3.7,2017,sac,44,2017,matched (3)
Nigel Hayes,PF (4.0),2,11,-.096000001,-6.0999999,-.02,13.1,0,8.6999998,0,0,0,0,2017,lal,44,2017,matched (3)
Nigel Hayes,PF (4.0),2,6,.59500003,15.4,.07,48,0,0,8,0,0,0,2017,tor,44,2017,matched (3)
Nik Stauskas,SG (2.1),73,1127,-.0049999999,-3.2,-.12,13.6,3.7,2.9000001,1.7,.69999999,.89999998,3.9000001,2014,sac,87.5,2014,matched (3)
Noah Vonleh,PF (4.0),25,259,.116,.5,.63,15.4,15.9,.69999999,2,1.7,.69999999,3.7,2014,cha,94,2014,matched (3)
OG Anunoby,SF (3.2),74,1481,.118,.60000002,3.6400001,14.2,6,1.8,1.5,.5,1.7,4.1999998,2017,tor,94,2017,matched (3)
Omari Spellman,PF (4.0),46,805,.072999999,-.80000001,1.23,16.200001,11.6,2.8,1.8,1.5,1.6,4,2018,atl,85,2018,matched (3)
PJ Dozier,PG (2.0),2,3,-.639,-22.9,-.039999999,32,16,0,16,0,0,16,2017,okc,50,2017,matched (3)
Rawle Alkins,SG (3.0),10,120,.024,-2.3,.059999999,14.8,10.4,5.1999998,3.2,0,.40000001,2.8,2018,chi,57,2018,matched (3)
Ray Spalding,PF (4.0),1,1,-.118,-6.8000002,0,0,0,0,0,0,0,0,2018,dal,85,2018,matched (3)
Ray Spalding,C (5.0),13,147,.103,.1,.31999999,17.6,15.7,1.6,2.9000001,2.5999999,2.9000001,7.5,2018,pho,85,2018,matched (3)
Robert Williams,PF (4.9),32,283,.31900001,6.8000002,1.88,13.7,13.7,1.2,1.7,6.8000002,1.5,6.0999999,2018,bos,94,2018,matched (3)
Rodney Hood,SG (2.0),50,1064,.039999999,-1.8,.88999999,19.5,5.3000002,3.7,2,.5,1.4,5.4000001,2014,uth,51.599998,2014,matched (3)
Russ Smith,PG (1.0),6,29,-.75700003,-26.6,-.46000001,8.3000002,5,3.3,11.6,0,0,9.8999996,2014,nor,70.699997,2014,matched (3)
Russ Smith,PG (1.0),6,36,.094999999,-.1,.07,33.299999,4,8,6.6999998,0,4,9.3000002,2014,mem,70.699997,2014,matched (3)
Semi Ojeleye,F (4.0),73,1150,-.043000001,-4.4000001,-1.04,8.1000004,6.6999998,.80000001,1,.2,.89999998,3.8,2017,bos,59,2017,matched (3)
Shabazz Napier,PG (1.0),51,1012,.052000001,-1.5,1.09,12.4,5.4000001,6.1999998,3.8,.2,1.9,3.5999999,2014,mia,98.599998,2014,matched (3)
Shai Gilgeous-Alexander,PG (1.0),82,2174,.113,.40000001,5.1300001,19.6,5.0999999,6,3.0999999,1,2.0999999,3.9000001,2018,lac,90,2018,matched (3)
Shake Milton,PG (1.0),20,268,.035999998,-2,.2,15.6,6.3000002,3.2,1.1,1.4,1.4,5.1999998,2018,phi,82,2018,matched (3)
Sindarius Thornwell,SF (3.0),73,1156,.068000004,-1,1.64,11.7,5.8000002,2.8,2.2,1,2,5.1999998,2017,lac,96,2017,matched (3)
Spencer Dinwiddie,PG (1.2),34,455,-.052999999,-4.6999998,-.5,15.3,5.0999999,11,3.5,.60000002,2,5.5999999,2014,det,82,2014,matched (3)
Sterling Brown,SG (2.0),54,776,.089000002,-.30000001,1.4299999,13.4,8.8000002,1.5,1.5,.80000001,1.9,4.9000001,2017,mil,86,2017,matched (3)
Sviatoslav Mykhailiuk,SG (2.0),39,420,-.052000001,-4.6999998,-.44999999,14.5,3.9000001,3.8,2.3,.1,1.5,2.9000001,2018,lal,22,2018,matched (3)
T.J. Warren,SF (3.0),40,614,.12899999,.89999998,1.66,19.200001,6.5999999,2,2.0999999,.69999999,1.4,4,2014,pho,83.199997,2014,matched (3)
TJ Leaf,PF (4.0),53,459,-.0080000004,-3.3,-.079999998,16.299999,8.6000004,.89999998,1,.40000001,.5,4.6999998,2017,ind,89,2017,matched (3)
Thomas Bryant,C (5.0),15,72,-.014,-3.5,-.02,14.7,11.3,4,1.3,1.3,.69999999,4,2017,lal,71,2017,matched (3)
Tony Bradley,C (5.0),9,29,.017000001,-2.5999999,.0099999998,13.2,18.200001,1.7,0,0,0,1.7,2017,uth,98,2017,matched (3)
Trae Young,PG (1.0),81,2503,.092,-.2,4.79,29.700001,5.8000002,12.5,5.9000001,.30000001,1.4,2.7,2018,atl,94,2018,matched (3)
Trevon Duval,PG (1.0),3,6,.80500001,22,.1,40,8,16,0,0,0,0,2018,mil,47,2018,matched (3)
Troy Brown,SF (3.0),52,730,.105,.2,1.6,16.299999,9.5,5.3000002,2,.30000001,1.4,3.7,2018,was,88,2018,matched (3)
Tyler Davis,C (5.0),1,1,-.33700001,-13.6,-.0099999998,0,48,0,0,0,0,0,2018,okc,82,2018,matched (3)
Tyler Dorsey,SG (2.0),56,974,-.0020000001,-3.0999999,-.039999999,20,6.4000001,3.9000001,1.8,.2,.80000001,3.0999999,2017,atl,66,2017,matched (3)
Tyler Ennis,PG (2.0),8,58,.018999999,-2.5,.02,18.200001,5.8000002,11.6,6.5999999,1.7,0,2.5,2014,pho,93.199997,2014,matched (3)
Tyler Ennis,PG (1.0),25,353,-.106,-6.4000001,-.77999997,13.5,3.8,8,4.5999999,.40000001,2.4000001,4.5,2014,mil,93.199997,2014,matched (3)
Tyler Lydon,PF (4.0),1,2,-.122,-6.9000001,-.0099999998,0,0,0,0,0,0,0,2017,den,59,2017,matched (3)
Wendell Carter Jr.,C (4.0),44,1110,.074000001,-.80000001,1.72,19.700001,13.3,3.4000001,2.8,2.5,1.1,6.5999999,2018,chi,99,2018,matched (3)
Zach Collins,C (5.0),66,1045,-.064000003,-5.0999999,-1.39,13.4,10.2,2.4000001,2.7,1.4,.80000001,6.0999999,2017,por,99,2017,matched (3)
Zach LaVine,PG (1.0),77,1902,-.039000001,-4.3000002,-1.55,19.6,5.4000001,7,4.9000001,.30000001,1.4,4,2014,min,50,2014,matched (3)
Zhaire Smith,SG (2.0),6,111,.048999999,-1.6,.11,17.299999,5.5999999,4.3000002,2.5999999,.89999998,.89999998,3.5,2018,phi,98,2018,matched (3)
